Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM30;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM29;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM28;239
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM27;253
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM26;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM25;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM24;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM23;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM22;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM21;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM20;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM19;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM18;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM17;291
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM16;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM15;304
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM14;306
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM13;321
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM12;307
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM11;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM10;308
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM09;329
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM08;322
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM07;314
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM06;319
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM05;316
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM04;287
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM03;336
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM02;333
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM01;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM52;310
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM51;305
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM50;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM49;304
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM48;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM47;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM46;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM45;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM44;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM43;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM42;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM41;232
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM40;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM39;216
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM38;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM37;239
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM36;256
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM35;211
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM34;242
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM33;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM32;218
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM31;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM30;226
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM29;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM28;243
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM27;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM26;246
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM25;300
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM24;287
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM23;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM22;223
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM21;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM20;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM19;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM18;267
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM17;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM16;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM15;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM14;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM13;278
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM12;297
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM11;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM10;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM09;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM08;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM07;313
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM06;318
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM05;355
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM04;394
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM03;419
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM02;416
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2017SM01;368
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM52;310
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM51;335
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM50;305
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM49;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM48;298
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM47;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM46;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM45;295
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM44;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM43;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM42;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM41;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM40;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM39;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM38;267
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM37;226
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM36;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM35;257
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM34;257
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM33;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM32;244
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM31;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM30;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM29;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM28;239
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM27;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM26;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM25;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM24;225
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM23;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM22;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM21;226
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM20;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM19;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM18;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM17;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM16;301
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM15;269
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM14;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM13;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM12;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM11;310
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM10;316
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM09;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM08;308
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM07;322
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM06;298
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM05;323
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM04;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM03;311
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM02;324
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2016SM01;304
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM53;298
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM52;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM51;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM50;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM49;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM48;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM47;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM46;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM45;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM44;250
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM43;300
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM42;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM41;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM40;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM39;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM38;230
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM37;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM36;235
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM35;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM34;244
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM33;229
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM32;232
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM31;231
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM30;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM29;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM28;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM27;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM26;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM25;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM24;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM23;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM22;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM21;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM20;269
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM19;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM18;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM17;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM16;272
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM15;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM14;319
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM13;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM12;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM11;301
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM10;322
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM09;335
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM08;325
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM07;352
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM06;355
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM05;365
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM04;359
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM03;404
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM02;358
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2015SM01;326
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM52;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM51;272
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM50;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM49;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM48;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM47;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM46;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM45;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM44;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM43;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM42;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM41;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM40;256
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM39;213
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM38;220
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM37;239
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM36;278
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM35;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM34;244
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM33;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM32;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM31;217
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM30;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM29;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM28;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM27;229
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM26;256
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM25;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM24;272
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM23;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM22;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM21;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM20;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM19;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM18;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM17;246
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM16;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM15;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM14;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM13;294
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM12;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM11;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM10;302
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM09;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM08;300
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM07;344
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM06;293
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM05;311
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM04;318
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM03;329
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM02;341
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2014SM01;332
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM52;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM51;306
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM50;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM49;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM48;291
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM47;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM46;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM45;246
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM44;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM43;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM42;243
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM41;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM40;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM39;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM38;228
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM37;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM36;223
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM35;230
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM34;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM33;278
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM32;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM31;250
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM30;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM29;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM28;298
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM27;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM26;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM25;238
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM24;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM23;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM22;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM21;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM20;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM19;239
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM18;246
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM17;257
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM16;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM15;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM14;272
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM13;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM12;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM11;291
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM10;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM09;303
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM08;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM07;307
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM06;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM05;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM04;315
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM03;297
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM02;299
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2013SM01;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM52;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM51;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM50;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM49;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM48;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM47;293
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM46;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM45;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM44;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM43;267
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM42;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM41;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM40;257
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM39;231
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM38;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM37;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM36;230
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM35;237
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM34;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM33;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM32;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM31;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM30;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM29;250
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM28;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM27;215
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM26;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM25;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM24;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM23;233
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM22;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM21;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM20;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM19;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM18;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM17;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM16;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM15;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM14;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM13;300
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM12;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM11;336
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM10;312
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM09;331
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM08;370
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM07;351
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM06;330
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM05;349
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2012SM04;316
