Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM24;241
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM23;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM22;233
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM21;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM20;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM19;223
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM18;237
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM17;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM16;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM15;300
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM14;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM13;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM12;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM11;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM10;315
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM09;301
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM08;339
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM07;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM06;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM05;339
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM04;311
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM03;333
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM02;327
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM01;336
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM52;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM51;307
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM50;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM49;303
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM48;305
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM47;293
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM46;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM45;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM44;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM43;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM42;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM41;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM40;275
